selected_chem	prestwick_ID	jaccard_distance	tanimoto_similarity	similarity_ranking	prestwick_chemname	target_species	measured_n_inhibited_strains	most_similar_category
Cetrorelix	Prestw-1432	0.837037037037037	0.16296296296296298	32	Loratadine	human	23	NA
Cetrorelix	Prestw-310	0.837037037037037	0.16296296296296298	32	Mebeverine hydrochloride	human	0	NA
Cetrorelix	Prestw-227	0.8387096774193549	0.16129032258064513	34	Clemizole hydrochloride	human	20	NA
Cetrorelix	Prestw-1104	0.8394160583941606	0.16058394160583944	35	Clonixin Lysinate	human	0	NA
Cetrorelix	Prestw-277	0.8396946564885496	0.16030534351145043	36	Labetalol hydrochloride	human	1	NA
Cetrorelix	Prestw-318	0.8405797101449275	0.1594202898550725	37	Quinacrine dihydrochloride dihydrate	protozoa	10	NA
Cetrorelix	Prestw-298	0.8409090909090909	0.15909090909090906	38	Fipexide hydrochloride	human	0	NA
Cetrorelix	Prestw-1049	0.8416666666666667	0.15833333333333333	39	Oxyphenbutazone	human	0	NA
Cetrorelix	Prestw-377	0.841726618705036	0.15827338129496404	40	Nafronyl oxalate	human	0	NA
Cetrorelix	Prestw-936	0.84251968503937	0.15748031496062997	41	Bephenium hydroxynaphthoate	metazoan parasites	0	NA
Cetrorelix	Prestw-17	0.8434782608695652	0.15652173913043477	42	Levodopa	human	0	NA
Cetrorelix	Prestw-317	0.8434782608695652	0.15652173913043477	42	Guanethidine sulfate	human	0	NA
Cetrorelix	Prestw-430	0.8435374149659864	0.15646258503401356	44	Cisapride	human	1	NA
Cetrorelix	Prestw-305	0.84375	0.15625	45	Bupivacaine hydrochloride	human	0	NA
Cetrorelix	Prestw-1190	0.8439716312056738	0.15602836879432624	46	Olmesartan	human	0	NA
Cetrorelix	Prestw-364	0.8439716312056738	0.15602836879432624	46	Metergoline	human	5	NA
Cetrorelix	Prestw-1454	0.8442622950819673	0.15573770491803274	48	Nylidrin	human	0	NA
Cetrorelix	Prestw-353	0.8442622950819673	0.15573770491803274	48	Moclobemide	human	0	NA
Cetrorelix	Prestw-560	0.8442622950819673	0.15573770491803274	48	Prenylamine lactate	human	10	NA
Cetrorelix	Prestw-340	0.8444444444444444	0.15555555555555556	51	Domperidone	human	1	NA
Cetrorelix	Prestw-548	0.8444444444444444	0.15555555555555556	51	Chloroquine diphosphate	protozoa	0	NA
Cetrorelix	Prestw-810	0.8444444444444444	0.15555555555555556	51	Sulconazole nitrate	fungi	17	NA
Cetrorelix	Prestw-1091	0.8448275862068966	0.15517241379310343	54	Spaglumic acid	human	0	NA
Cetrorelix	Prestw-117	0.8449612403100775	0.15503875968992253	55	Chlorpheniramine maleate	human	1	NA
Cetrorelix	Prestw-503	0.8449612403100775	0.15503875968992253	55	Cetirizine dihydrochloride	human	0	NA
Cetrorelix	Prestw-1280	0.8455284552845529	0.1544715447154471	57	Mepivacaine hydrochloride	human	0	NA
Cetrorelix	Prestw-293	0.8455882352941176	0.15441176470588236	58	Glafenine hydrochloride	human	1	NA
Cetrorelix	Prestw-932	0.8455882352941176	0.15441176470588236	58	S(-)Eticlopride hydrochloride	not a drug	0	NA
Cetrorelix	Prestw-149	0.8467153284671532	0.15328467153284675	60	Thioproperazine dimesylate	human	1	NA
Cetrorelix	Prestw-276	0.8473282442748091	0.15267175572519087	61	Bumetanide	human	0	NA
Cetrorelix	Prestw-137	0.8478260869565217	0.15217391304347827	62	Clindamycin hydrochloride	bacteria	39	NA
Cetrorelix	Prestw-1041	0.848	0.15200000000000002	63	Etomidate	human	4	NA
Cetrorelix	Prestw-228	0.848	0.15200000000000002	63	Tropicamide	human	0	NA
Cetrorelix	Prestw-64	0.848	0.15200000000000002	63	Chlorpromazine hydrochloride	human	11	NA
Cetrorelix	Prestw-367	0.8484848484848485	0.1515151515151515	66	Benfluorex hydrochloride	human	10	NA
Cetrorelix	Prestw-490	0.8487394957983193	0.1512605042016807	67	Iobenguane sulfate	human	0	NA
Cetrorelix	Prestw-974	0.8487394957983193	0.1512605042016807	67	Pronethalol hydrochloride	not a drug	1	NA
Cetrorelix	Prestw-71	0.8492063492063492	0.1507936507936508	69	Todralazine hydrochloride	not a drug	0	NA
Cetrorelix	Prestw-858	0.8493150684931506	0.15068493150684936	70	Doxazosin mesylate	human	3	NA
Cetrorelix	Prestw-529	0.85	0.15000000000000002	71	Mesoridazine besylate	human	4	NA
Cetrorelix	Prestw-999	0.85	0.15000000000000002	71	Proguanil hydrochloride	protozoa	0	NA
Cetrorelix	Prestw-374	0.8503401360544217	0.1496598639455783	73	Methylergometrine maleate	human	0	NA
Cetrorelix	Prestw-1325	0.8507462686567164	0.14925373134328357	74	Raclopride	not a drug	1	NA
Cetrorelix	Prestw-292	0.8507462686567164	0.14925373134328357	74	Trazodone hydrochloride	human	1	NA
Cetrorelix	Prestw-576	0.8507462686567164	0.14925373134328357	74	Acetopromazine maleate salt	human	4	NA
Cetrorelix	Prestw-398	0.851063829787234	0.14893617021276595	77	Oxantel pamoate	metazoan parasites	0	NA
Cetrorelix	Prestw-378	0.8515625	0.1484375	78	Bezafibrate	human	1	NA
Cetrorelix	Prestw-457	0.8515625	0.1484375	78	Meclozine dihydrochloride	human	22	NA
Cetrorelix	Prestw-135	0.852112676056338	0.147887323943662	80	Methotrexate	human	12	NA
Cetrorelix	Prestw-373	0.852112676056338	0.147887323943662	80	Amethopterin (R,S)	human	12	NA
Cetrorelix	Prestw-282	0.8524590163934426	0.14754098360655743	82	Fenoterol hydrobromide	human	0	NA
Cetrorelix	Prestw-1219	0.8529411764705882	0.1470588235294118	83	Amlodipine	human	3	NA
Cetrorelix	Prestw-56	0.8529411764705882	0.1470588235294118	83	Sulpiride	human	0	NA
Cetrorelix	Prestw-534	0.8536585365853658	0.14634146341463417	85	Atovaquone	protozoa	3	NA
Cetrorelix	Prestw-767	0.8536585365853658	0.14634146341463417	85	Guanadrel sulfate	human	1	NA
Cetrorelix	Prestw-565	0.8538461538461538	0.1461538461538462	87	Atropine sulfate monohydrate	human	0	NA
Cetrorelix	Prestw-66	0.8538461538461538	0.1461538461538462	87	Minaprine dihydrochloride	human	0	NA
Cetrorelix	Prestw-495	0.8543046357615894	0.14569536423841056	89	Terconazole	fungi	0	NA
Cetrorelix	Prestw-106	0.8548387096774194	0.14516129032258063	90	Nicorandil	human	2	NA
Cetrorelix	Prestw-403	0.8548387096774194	0.14516129032258063	90	Thyroxine (L)	human	4	NA
Cetrorelix	Prestw-807	0.8548387096774194	0.14516129032258063	90	Chloropyramine hydrochloride	human	0	NA
Cetrorelix	Prestw-904	0.8559322033898306	0.14406779661016944	93	Metyrapone	human	0	NA
Cetrorelix	Prestw-536	0.856	0.14400000000000002	94	(R)-(+)-Atenolol	human	0	NA
Cetrorelix	Prestw-558	0.856	0.14400000000000002	94	Gliclazide	human	0	NA
Cetrorelix	Prestw-617	0.856	0.14400000000000002	94	Quipazine dimaleate salt	not a drug	2	NA
Cetrorelix	Prestw-953	0.856	0.14400000000000002	94	(S)-(-)-Atenolol	human	0	NA
Cetrorelix	Prestw-1473	0.8561151079136691	0.14388489208633093	98	Estradiol Valerate	human	16	NA
Cetrorelix	Prestw-751	0.8561151079136691	0.14388489208633093	98	Terazosin hydrochloride	human	0	NA
Cetrorelix	Prestw-1449	0.8571428571428571	0.1428571428571429	100	Nicotinamide	human	0	NA
Cetrorelix	Prestw-233	0.8571428571428571	0.1428571428571429	100	Hyoscyamine (L)	human	1	NA
Cetrorelix	Prestw-240	0.8571428571428571	0.1428571428571429	100	Proglumide	human	1	NA
Cetrorelix	Prestw-320	0.8571428571428571	0.1428571428571429	100	Fluphenazine dihydrochloride	human	7	NA
Cetrorelix	Prestw-473	0.8571428571428571	0.1428571428571429	100	Cefotetan	bacteria	32	NA
Cetrorelix	Prestw-5	0.8571428571428571	0.1428571428571429	100	Atracurium besylate	human	0	NA
Cetrorelix	Prestw-801	0.8582089552238806	0.14179104477611937	106	Carbinoxamine maleate salt	human	0	NA
Cetrorelix	Prestw-269	0.8582677165354331	0.1417322834645669	107	Clomipramine hydrochloride	human	4	NA
Cetrorelix	Prestw-633	0.8583333333333333	0.14166666666666672	108	Thiorphan	human	0	NA
Cetrorelix	Prestw-819	0.8589743589743589	0.14102564102564108	109	Moxalactam disodium salt	bacteria	32	NA
Cetrorelix	Prestw-187	0.8591549295774648	0.14084507042253525	110	Catharanthine	human	2	NA
Cetrorelix	Prestw-744	0.8591549295774648	0.14084507042253525	110	Flunixin meglumine	veterinary: host animal	4	NA
Cetrorelix	Prestw-434	0.8592592592592593	0.14074074074074072	112	Cefadroxil	bacteria	4	NA
Cetrorelix	Prestw-485	0.8592592592592593	0.14074074074074072	112	Cefaclor hydrate	bacteria	18	NA
Cetrorelix	Prestw-76	0.8592592592592593	0.14074074074074072	112	Dibucaine	human	1	NA
Cetrorelix	Prestw-945	0.8592592592592593	0.14074074074074072	112	Salmeterol	human	1	NA
Cetrorelix	Prestw-448	0.859375	0.140625	116	Hydroxytacrine maleate (R,S)	human	0	NA
Cetrorelix	Prestw-323	0.859504132231405	0.14049586776859502	117	Chlorpropamide	human	1	NA
Cetrorelix	Prestw-336	0.859504132231405	0.14049586776859502	117	Chlormezanone	human	0	NA
Cetrorelix	Prestw-451	0.8601398601398601	0.1398601398601399	119	Alizapride HCl	human	0	NA
Cetrorelix	Prestw-1102	0.8602941176470589	0.13970588235294112	120	Fexofenadine HCl	human	3	NA
Cetrorelix	Prestw-1253	0.8602941176470589	0.13970588235294112	120	Butylscopolammonium (n-) bromide	human	0	NA
Cetrorelix	Prestw-133	0.8604651162790697	0.13953488372093026	122	Hydroxyzine dihydrochloride	human	1	NA
Cetrorelix	Prestw-1498	0.8604651162790697	0.13953488372093026	122	Camylofine chlorhydrate	human	0	NA
Cetrorelix	Prestw-1604	0.8604651162790697	0.13953488372093026	122	(-)-Emtricitabine	viruses	1	NA
Cetrorelix	Prestw-266	0.8604651162790697	0.13953488372093026	122	Disopyramide	human	0	NA
Cetrorelix	Prestw-789	0.8604651162790697	0.13953488372093026	122	Drofenine hydrochloride	human	0	NA
Cetrorelix	Prestw-249	0.860655737704918	0.139344262295082	127	Bupropion hydrochloride	human	0	NA
Cetrorelix	Prestw-703	0.8615384615384616	0.1384615384615384	128	Famprofazone	human	2	NA
Cetrorelix	Prestw-1000	0.8616352201257862	0.1383647798742138	129	Lymecycline	bacteria	26	NA
Cetrorelix	Prestw-199	0.8617886178861789	0.1382113821138211	130	Prilocaine hydrochloride	human	1	NA
Cetrorelix	Prestw-763	0.8617886178861789	0.1382113821138211	130	Meclofenoxate hydrochloride	human	0	NA
Cetrorelix	Prestw-1217	0.8623188405797102	0.1376811594202898	132	Amisulpride	human	0	NA
Cetrorelix	Prestw-1433	0.8623188405797102	0.1376811594202898	132	Losartan	human	0	NA
Cetrorelix	Prestw-302	0.8623188405797102	0.1376811594202898	132	Lincomycin hydrochloride	bacteria	37	NA
Cetrorelix	Prestw-115	0.8625954198473282	0.13740458015267176	135	Haloperidol	human	2	NA
Cetrorelix	Prestw-225	0.8625954198473282	0.13740458015267176	135	Nifenazone	human	0	NA
Cetrorelix	Prestw-319	0.8625954198473282	0.13740458015267176	135	Clofilium tosylate	human	8	NA
Cetrorelix	Prestw-998	0.8625954198473282	0.13740458015267176	135	Zuclopenthixol dihydrochloride	human	11	NA
Cetrorelix	Prestw-47	0.8629032258064516	0.13709677419354838	139	Ticlopidine hydrochloride	human	0	NA
Cetrorelix	Prestw-799	0.8629032258064516	0.13709677419354838	139	Pridinol methanesulfonate salt	human	3	NA
Cetrorelix	Prestw-944	0.8629032258064516	0.13709677419354838	139	Phenoxybenzamine hydrochloride	human	1	NA
Cetrorelix	Prestw-654	0.863013698630137	0.136986301369863	142	Benfotiamine	human	0	NA
Cetrorelix	Prestw-179	0.8632478632478633	0.1367521367521367	143	Phenformin hydrochloride	human	0	NA
Cetrorelix	Prestw-735	0.8633093525179856	0.13669064748201443	144	Flecainide acetate	human	0	NA
Cetrorelix	Prestw-862	0.8633093525179856	0.13669064748201443	144	Raloxifene hydrochloride	human	1	NA
Cetrorelix	Prestw-923	0.8633093525179856	0.13669064748201443	144	Xamoterol hemifumarate	human	0	NA
Cetrorelix	Prestw-947	0.8633093525179856	0.13669064748201443	144	Prazosin hydrochloride	human	0	NA
Cetrorelix	Prestw-44	0.8636363636363636	0.13636363636363635	148	Isoxicam	human	0	NA
Cetrorelix	Prestw-788	0.864	0.136	149	Hexylcaine hydrochloride	human	0	NA
Cetrorelix	Prestw-793	0.864	0.136	149	Cloperastine hydrochloride	human	2	NA
Cetrorelix	Prestw-242	0.8642857142857143	0.13571428571428568	151	Flavoxate hydrochloride	human	0	NA
Cetrorelix	Prestw-584	0.8642857142857143	0.13571428571428568	151	Yohimbine hydrochloride	human	0	NA
Cetrorelix	Prestw-406	0.8646616541353384	0.13533834586466165	153	Morpholinoethylamino-3-benzocyclohepta-(5,6-c)-pyridazine dihydrochloride	not a drug	0	NA
Cetrorelix	Prestw-755	0.8648648648648649	0.1351351351351351	154	Piperacillin sodium salt	bacteria	37	NA
Cetrorelix	Prestw-1037	0.8650793650793651	0.13492063492063489	155	Zalcitabine	viruses	0	NA
Cetrorelix	Prestw-68	0.8650793650793651	0.13492063492063489	155	Isoxsuprine hydrochloride	human	0	NA
Cetrorelix	Prestw-531	0.8652482269503546	0.13475177304964536	157	Pirenperone	not a drug	0	NA
Cetrorelix	Prestw-176	0.865546218487395	0.134453781512605	158	Iproniazide phosphate	human	0	NA
Cetrorelix	Prestw-287	0.8656716417910447	0.13432835820895528	159	Oxybutynin chloride	human	0	NA
Cetrorelix	Prestw-289	0.8656716417910447	0.13432835820895528	159	Pyrilamine maleate	human	0	NA
Cetrorelix	Prestw-433	0.8656716417910447	0.13432835820895528	159	Cyanocobalamin	human	0	NA
Cetrorelix	Prestw-666	0.8656716417910447	0.13432835820895528	159	Nisoldipine	human	0	NA
Cetrorelix	Prestw-973	0.8656716417910447	0.13432835820895528	159	Pirlindole mesylate	human	0	NA
Cetrorelix	Prestw-991	0.8657718120805369	0.13422818791946312	164	Gliquidone	human	2	NA
Cetrorelix	Prestw-834	0.8658536585365854	0.13414634146341464	165	Novobiocin sodium salt	veterinary: infections	37	NA
Cetrorelix	Prestw-881	0.8660714285714286	0.1339285714285714	166	Niacin	human	0	NA
Cetrorelix	Prestw-725	0.8661417322834646	0.13385826771653542	167	Deferoxamine mesylate	human	0	NA
Cetrorelix	Prestw-903	0.8661417322834646	0.13385826771653542	167	Diloxanide furoate	protozoa	1	NA
Cetrorelix	Prestw-20	0.8666666666666667	0.1333333333333333	169	Minoxidil	human	0	NA
Cetrorelix	Prestw-234	0.8666666666666667	0.1333333333333333	169	Chlorphensin carbamate	fungi	0	NA
Cetrorelix	Prestw-381	0.8666666666666667	0.1333333333333333	169	Lidoflazine	human	6	NA
Cetrorelix	Prestw-78	0.8666666666666667	0.1333333333333333	169	Thioridazine hydrochloride	human	18	NA
Cetrorelix	Prestw-909	0.8666666666666667	0.1333333333333333	169	Nabumetone	human	0	NA
Cetrorelix	Prestw-392	0.8671328671328671	0.13286713286713292	174	Ketanserin tartrate hydrate	human	0	NA
Cetrorelix	Prestw-441	0.8671875	0.1328125	175	Estradiol-17 beta	human	0	NA
Cetrorelix	Prestw-853	0.8671875	0.1328125	175	Liothyronine	human	1	NA
Cetrorelix	Prestw-720	0.8675496688741722	0.13245033112582782	177	Cefuroxime sodium salt	bacteria	31	NA
Cetrorelix	Prestw-308	0.8676470588235294	0.13235294117647056	178	Pimozide	human	9	NA
Cetrorelix	Prestw-455	0.8676470588235294	0.13235294117647056	178	Mebhydroline 1,5-naphtalenedisulfonate	human	4	NA
Cetrorelix	Prestw-971	0.8676470588235294	0.13235294117647056	178	Remoxipride Hydrochloride	human	0	NA
Cetrorelix	Prestw-349	0.8677685950413223	0.1322314049586777	181	Ritodrine hydrochloride	human	0	NA
Cetrorelix	Prestw-917	0.8677685950413223	0.1322314049586777	181	Flurbiprofen	human	0	NA
Cetrorelix	Prestw-522	0.8678414096916299	0.13215859030837007	183	Thiostrepton	veterinary: infections	35	NA
Cetrorelix	Prestw-102	0.8682170542635659	0.13178294573643412	184	Amoxapine	human	4	NA
Cetrorelix	Prestw-478	0.8682170542635659	0.13178294573643412	184	Felodipine	human	18	NA
Cetrorelix	Prestw-484	0.8686131386861314	0.13138686131386856	186	Benperidol	human	0	NA
Cetrorelix	Prestw-197	0.8688524590163934	0.1311475409836066	187	Metaraminol bitartrate	human	0	NA
Cetrorelix	Prestw-211	0.8692307692307693	0.13076923076923075	188	Piroxicam	human	0	NA
Cetrorelix	Prestw-350	0.8692307692307693	0.13076923076923075	188	Clozapine	human	1	NA
Cetrorelix	Prestw-877	0.8692307692307693	0.13076923076923075	188	Scopolamine hydrochloride	human	0	NA
Cetrorelix	Prestw-738	0.869281045751634	0.130718954248366	191	Folinic acid calcium salt	human	0	NA
Cetrorelix	Prestw-723	0.8695652173913043	0.13043478260869568	192	Phenethicillin potassium salt	bacteria	35	NA
Cetrorelix	Prestw-651	0.8698630136986302	0.13013698630136983	193	Glimepiride	human	0	NA
Cetrorelix	Prestw-821	0.8698630136986302	0.13013698630136983	193	Azlocillin sodium salt	bacteria	32	NA
Cetrorelix	Prestw-754	0.8699186991869918	0.13008130081300817	195	Fenoprofen calcium salt dihydrate	human	0	NA
Cetrorelix	Prestw-443	0.8701298701298701	0.1298701298701299	196	Gabazine bromide	not a drug	0	NA
Cetrorelix	Prestw-260	0.8702290076335878	0.1297709923664122	197	Praziquantel	metazoan parasites	0	NA
Cetrorelix	Prestw-341	0.8702290076335878	0.1297709923664122	197	Furosemide	human	0	NA
Cetrorelix	Prestw-354	0.8702290076335878	0.1297709923664122	197	Clopamide	human	1	NA
Cetrorelix	Prestw-368	0.8702290076335878	0.1297709923664122	197	Bepridil hydrochloride	human	20	NA
Cetrorelix	Prestw-929	0.8702290076335878	0.1297709923664122	197	Ketorolac tromethamine	human	0	NA
Cetrorelix	Prestw-296	0.8705035971223022	0.1294964028776978	202	Acemetacin	human	0	NA
Cetrorelix	Prestw-797	0.8705035971223022	0.1294964028776978	202	Methotrimeprazine maleat salt	human	2	NA
Cetrorelix	Prestw-170	0.8706896551724138	0.1293103448275862	204	Phenelzine sulfate	human	0	NA
Cetrorelix	Prestw-907	0.8706896551724138	0.1293103448275862	204	S-(+)-ibuprofen	human	0	NA
Cetrorelix	Prestw-283	0.8709677419354839	0.12903225806451613	206	Homochlorcyclizine dihydrochloride	human	3	NA
Cetrorelix	Prestw-138	0.8712121212121212	0.12878787878787878	207	Terfenadine	human	23	NA
Cetrorelix	Prestw-200	0.8714285714285714	0.12857142857142856	208	Camptothecine (S,+)	not a drug	0	NA
Cetrorelix	Prestw-1424	0.8716216216216216	0.1283783783783784	209	Fulvestrant	human	0	NA
Cetrorelix	Prestw-491	0.872	0.128	210	Metixene hydrochloride	human	13	NA
Cetrorelix	Prestw-795	0.872	0.128	210	Isocarboxazid	human	0	NA
Cetrorelix	Prestw-127	0.8721804511278195	0.1278195488721805	212	Isoconazole	fungi	31	NA
Cetrorelix	Prestw-900	0.8721804511278195	0.1278195488721805	212	Methylatropine nitrate	human	0	NA
Cetrorelix	Prestw-85	0.8728813559322034	0.1271186440677966	214	Baclofen (R,S)	human	0	NA
Cetrorelix	Prestw-541	0.873015873015873	0.12698412698412698	215	Ciclopirox ethanolamine	fungi	1	NA
Cetrorelix	Prestw-616	0.873015873015873	0.12698412698412698	215	Demecarium bromide	human	2	NA
Cetrorelix	Prestw-62	0.873015873015873	0.12698412698412698	215	Homatropine hydrobromide (R,S)	human	0	NA
Cetrorelix	Prestw-313	0.8731343283582089	0.12686567164179108	218	Trifluoperazine dihydrochloride	human	11	NA
Cetrorelix	Prestw-520	0.8731343283582089	0.12686567164179108	218	Sulfasalazine	human	0	NA
Cetrorelix	Prestw-868	0.8738738738738738	0.12612612612612617	220	Acetaminophen	human	0	NA
Cetrorelix	Prestw-1427	0.8739495798319328	0.12605042016806722	221	Levetiracetam	human	0	NA
Cetrorelix	Prestw-426	0.8740157480314961	0.12598425196850394	222	Buflomedil hydrochloride	human	0	NA
Cetrorelix	Prestw-519	0.8740740740740741	0.12592592592592589	223	Imipenem	bacteria	35	NA
Cetrorelix	Prestw-527	0.8740740740740741	0.12592592592592589	223	Tenoxicam	human	0	NA
Cetrorelix	Prestw-906	0.8740740740740741	0.12592592592592589	223	Fluspirilen	human	3	NA
Cetrorelix	Prestw-268	0.8741258741258742	0.12587412587412583	226	Vinpocetine	human	0	NA
Cetrorelix	Prestw-470	0.8741721854304636	0.1258278145695364	227	Ceforanide	bacteria	33	NA
Cetrorelix	Prestw-264	0.875	0.125	228	Dyclonine hydrochloride	human	0	NA
Cetrorelix	Prestw-357	0.875	0.125	228	Amoxicillin	bacteria	35	NA
Cetrorelix	Prestw-37	0.875	0.125	228	Pyrimethamine	protozoa	19	NA
Cetrorelix	Prestw-405	0.875	0.125	228	Pepstatin A	not a drug	0	NA
Cetrorelix	Prestw-784	0.875	0.125	228	Bendroflumethiazide	human	0	NA
Cetrorelix	Prestw-814	0.8758169934640523	0.12418300653594772	233	Cefsulodin sodium salt	bacteria	21	NA
Cetrorelix	Prestw-383	0.8758620689655172	0.12413793103448278	234	Nicardipine hydrochloride	human	5	NA
Cetrorelix	Prestw-1307	0.8759124087591241	0.12408759124087587	235	Olopatadine hydrochloride	human	0	NA
Cetrorelix	Prestw-1343	0.8759124087591241	0.12408759124087587	235	Sparfloxacin	bacteria	36	NA
Cetrorelix	Prestw-220	0.8759124087591241	0.12408759124087587	235	Indapamide	human	0	NA
Cetrorelix	Prestw-288	0.8759124087591241	0.12408759124087587	235	Spiperone	human	3	NA
Cetrorelix	Prestw-330	0.8759124087591241	0.12408759124087587	235	Bisoprolol fumarate	human	0	NA
Cetrorelix	Prestw-1096	0.875968992248062	0.12403100775193798	240	Estriol	human	0	NA
Cetrorelix	Prestw-191	0.875968992248062	0.12403100775193798	240	Midodrine hydrochloride	human	0	NA
Cetrorelix	Prestw-914	0.875968992248062	0.12403100775193798	240	Estrone	human	0	NA
Cetrorelix	Prestw-1383	0.8760330578512396	0.12396694214876036	243	Clofibrate	human	0	NA
Cetrorelix	Prestw-706	0.8760330578512396	0.12396694214876036	243	Chlorcyclizine hydrochloride	human	2	NA
Cetrorelix	Prestw-656	0.8764705882352941	0.12352941176470589	245	Lanatoside C	human	0	NA
Cetrorelix	Prestw-905	0.8768115942028986	0.12318840579710144	246	Urapidil hydrochloride	human	0	NA
Cetrorelix	Prestw-842	0.8769230769230769	0.12307692307692308	247	Trimeprazine tartrate	human	9	NA
Cetrorelix	Prestw-1079	0.8770491803278688	0.12295081967213117	248	Chlorambucil	human	0	NA
Cetrorelix	Prestw-1112	0.8770491803278688	0.12295081967213117	248	Procarbazine hydrochloride	human	0	NA
Cetrorelix	Prestw-372	0.8770491803278688	0.12295081967213117	248	Debrisoquin sulfate	human	0	NA
Cetrorelix	Prestw-96	0.8770491803278688	0.12295081967213117	248	Guanabenz acetate	human	0	NA
Cetrorelix	Prestw-912	0.8771929824561403	0.1228070175438597	252	Monobenzone	human	0	NA
Cetrorelix	Prestw-572	0.8774193548387097	0.1225806451612903	253	Mometasone furoate	human	1	NA
Cetrorelix	Prestw-875	0.8774193548387097	0.1225806451612903	253	Reserpine	human	4	NA
Cetrorelix	Prestw-416	0.8775510204081632	0.12244897959183676	255	Bacampicillin hydrochloride	bacteria	29	NA
Cetrorelix	Prestw-1110	0.8778625954198473	0.12213740458015265	256	Parbendazole	veterinary: metazoan parasites	5	NA
Cetrorelix	Prestw-300	0.8778625954198473	0.12213740458015265	256	Diperodon hydrochloride	not a drug	0	NA
Cetrorelix	Prestw-850	0.8778625954198473	0.12213740458015265	256	Equilin	human	1	NA
Cetrorelix	Prestw-1177	0.8780487804878049	0.12195121951219512	259	Carbidopa	not a drug	1	NA
Cetrorelix	Prestw-1380	0.8780487804878049	0.12195121951219512	259	Clobutinol hydrochloride	human	0	NA
Cetrorelix	Prestw-539	0.8782051282051282	0.1217948717948718	261	Thiocolchicoside	human	0	NA
Cetrorelix	Prestw-209	0.8787878787878788	0.12121212121212122	262	Metoclopramide monohydrochloride	human	0	NA
Cetrorelix	Prestw-67	0.8787878787878788	0.12121212121212122	262	Miconazole	fungi	28	NA
