chem_id	umap1	umap2	Chemical Library	ProductName	n_predicted_inhibited_strains	antibiotic	Reported Activity
HY-B0187A	4.1485944	3.9886434	MCE	Doripenem (monohydrate)	25	abx	NA
HY-W020044	5.094296	4.7601786	MCE	DL-alpha-Tocopherol	25	not_abx	Antibacterial
HY-B0607	8.219305	6.747291	MCE	Nitisinone	25	not_abx	NA
HY-14852	8.090383	11.061554	MCE	Tafamidis	25	not_abx	NA
HY-N7111	6.638718	4.404646	MCE	Sultamicillin (tosylate)	25	abx	NA
HY-16349	5.6486535	3.8490598	MCE	Nimorazole	25	not_abx	Antibacterial
HY-17605	5.4639144	7.459296	MCE	Bictegravir	25	not_abx	Antiviral
HY-P1564A	5.7332277	3.1919646	MCE	[Sar1, Ile8]-Angiotensin II (TFA)	25	not_abx	NA
HY-N0683	5.111191	4.7488623	MCE	α-Vitamin E	25	not_abx	Antibacterial
HY-13573	3.9200613	4.308043	MCE	Biapenem	25	abx	NA
HY-P0059	5.572585	2.944872	MCE	Teriparatide	24	not_abx	NA
HY-113035A	6.311809	3.935427	MCE	Angiotensin III (TFA)	24	not_abx	NA
HY-19883	7.5504775	8.59664	MCE	Lusutrombopag	24	not_abx	NA
HY-W010708	1.4823596000000001	4.6969643	MCE	Cholesteryl palmitate	24	not_abx	NA
HY-16974	5.997075	10.788154	MCE	Afoxolaner	24	not_abx	Antiparasitic
HY-108896	5.574819	3.1176522	MCE	Icatibant (acetate)	23	not_abx	NA
HY-15407A	8.316409	7.0917616	MCE	Sacubitril hemicalcium salt	23	not_abx	NA
HY-13553	7.423162	5.2105885	MCE	Anidulafungin	23	not_abx	Antifungal
HY-17634	4.4081287	5.430213	MCE	Glecaprevir	23	not_abx	Antiviral
HY-113026	5.050433	4.8132586	MCE	Delta-Tocopherol	23	not_abx	Antibacterial
HY-B0359	9.340769	9.662789	MCE	Fenticonazole (Nitrate)	23	not_abx	Antibacterial
HY-13448	7.137798	11.244265	MCE	Nedocromil	23	not_abx	NA
HY-17572A	5.477727	2.745556	MCE	Atosiban (acetate)	22	not_abx	NA
HY-16508	3.1716325	6.2008643	MCE	Ulipristal acetate	22	not_abx	NA
HY-N2339	1.7590028	4.6241045	MCE	Cholesteryl behenate	22	not_abx	NA
HY-113498	3.8211992	3.1232176	MCE	Sphingomyelin	22	not_abx	NA
HY-B0021	7.033374	0.88445485	MCE	Doxifluridine	22	not_abx	Antibacterial
HY-15991	6.6265297	5.888172	MCE	Tenapanor	22	not_abx	NA
HY-B0079	2.4906187	-1.537354	MCE	Sugammadex (sodium)	22	not_abx	NA
HY-13463B	5.220375	7.401543	MCE	Avatrombopag (hydrochloride)	20	not_abx	NA
HY-B0674	7.70184	6.978935	MCE	Ebastine	20	not_abx	NA
HY-14734	4.9265485	8.8357525	MCE	Anamorelin	20	not_abx	NA
HY-B0200B	6.973969	4.2017984	MCE	Cephalexin (monohydrate)	20	abx	NA
HY-14734A	5.0187206	8.762305	MCE	Anamorelin (hydrochloride)	20	not_abx	NA
HY-107569	1.2880989	2.7481234	MCE	Garcinol	20	not_abx	Antibacterial
HY-10446	6.9966607	9.399586	MCE	Pralatrexate	19	not_abx	Antibacterial
HY-109025	6.6652455	7.767318	MCE	Baloxavir marboxil	19	not_abx	Antiviral
HY-13017	6.1544557	10.22504	MCE	Ivacaftor	19	not_abx	Antibacterial
HY-17476	11.567059	8.194313	MCE	Carbasalate calcium	19	not_abx	NA
HY-B0200	7.007872	4.2883415	MCE	Cephalexin	19	abx	NA
HY-N0313	0.021248065	5.25062	MCE	Euphol	19	not_abx	Antibacterial
HY-10235	3.8048475	4.693205	MCE	Telaprevir	18	not_abx	Antibacterial
HY-B0803	7.137334	7.2827272	MCE	Lumefantrine	18	not_abx	Antiparasitic
HY-15298	4.379685	5.452486	MCE	Grazoprevir	17	not_abx	Antiviral
HY-13859	7.0148215	0.84114105	MCE	Clevudine	16	not_abx	Antiviral
HY-B0612A	8.227659	6.94601	MCE	Lercanidipine (hydrochloride)	16	not_abx	Antibacterial
HY-108635	3.7670639	3.0792356	MCE	C16-PAF	16	not_abx	Antibacterial
HY-13055A	7.6764665	9.276464	MCE	Telotristat ethyl	16	not_abx	NA
HY-18260	11.009369	7.235657	MCE	Bisphenol A	16	not_abx	Antibacterial
HY-16938	8.488734	1.1488007	MCE	5'-Methylthioadenosine	16	not_abx	NA
HY-B0723	9.733864	7.979157	MCE	Ospemifene	16	not_abx	Antifungal
HY-13756A	2.383202	3.0546098	MCE	Tacrolimus (monohydrate)	15	not_abx	Antibacterial
HY-N1150	7.056445	0.9119764	MCE	Thymidine	15	not_abx	NA
HY-B0926A	12.292573	4.3970313	MCE	Sodium diatrizoate	15	not_abx	Antibacterial
HY-N2417	1.1401863	4.7864857	MCE	Stearyl glycyrrhetinate	15	not_abx	Antibacterial
HY-17436	8.526663	6.0090322	MCE	Clevidipine	15	not_abx	Antiviral
HY-14557A	6.413406	5.96255	MCE	Pimavanserin tartrate	15	not_abx	NA
HY-B0458	7.166303	4.1945763	MCE	Cefprozil (monohydrate)	15	abx	NA
HY-B0777	2.208238	2.8176675	MCE	Moxidectin	15	not_abx	Antibacterial
HY-B0017	7.051509	0.9294587	MCE	Telbivudine	15	not_abx	Antiviral
HY-D0844	5.0233026	1.2388783	MCE	Glutathione oxidized	14	not_abx	Antibacterial
HY-W009444	7.112689	0.8738805	MCE	5-Methyluridine	14	not_abx	NA
HY-D0186	7.1608005	0.8118914	MCE	2'-Deoxyuridine	14	not_abx	NA
HY-W010697	1.1018234	4.600842	MCE	Cholesteryl linoleate	14	not_abx	Antibacterial
HY-B2168	5.752849	7.688313	MCE	Mequitazine	14	not_abx	Antibacterial
HY-107212	2.1473277	3.1341705	MCE	Selamectin	14	not_abx	Antibacterial
HY-N2319	4.741473	8.383732	MCE	Dihydroergocristine (mesylate)	14	not_abx	Antibacterial
HY-N0410	0.58864194	4.4544244	MCE	Daucosterol	14	not_abx	NA
HY-N0797	0.19670202	5.620151	MCE	(20S)-Protopanaxadiol	14	not_abx	Antibacterial
HY-109108A	6.4156833	5.387671	MCE	Valemetostat (tosylate)	14	not_abx	NA
HY-P0004	5.7498603	2.9561818	MCE	Lysipressin	14	not_abx	NA
HY-B0879A	8.584718	10.555218	MCE	Suramin (sodium salt)	14	not_abx	Antibacterial
HY-13803	6.6186438	6.41169	MCE	Tazemetostat	13	not_abx	NA
HY-13803C	6.661629	6.354957	MCE	Tazemetostat (hydrobromide)	13	not_abx	NA
HY-12044	8.227384	10.618499	MCE	Cabozantinib (S-malate)	13	not_abx	NA
HY-14283	8.311047	9.709033	MCE	Luliconazole	13	not_abx	Antifungal
HY-14434	4.442227	5.5124636	MCE	Asunaprevir	13	not_abx	Antiviral
HY-N0835	0.19089404	5.311563	MCE	(20S)-Protopanaxatriol	13	not_abx	Antibacterial
HY-P0288	8.242673	6.056413	MCE	[Leu5]-Enkephalin	13	not_abx	NA
HY-15298A	4.428724	5.515107	MCE	Grazoprevir potassium salt	13	not_abx	Antiviral
HY-B1174	2.9832394	-0.6640177	MCE	Bekanamycin	12	abx	NA
HY-B1449	7.1497374	0.7473838	MCE	Uridine	12	not_abx	NA
HY-16082	8.439892	8.247144	MCE	AZD7545	12	not_abx	NA
HY-A0182	5.7240577	2.9665697	MCE	Felypressin	12	not_abx	NA
HY-N0602	-0.25253376	3.4584239	MCE	Ginsenoside Rg2	12	not_abx	Antibacterial
HY-10440	9.36968	9.566563	MCE	Vismodegib	11	not_abx	NA
HY-10222	2.8040228	3.5884836	MCE	Ixabepilone	11	abx	NA
HY-101981	7.3118143	0.70644355	MCE	Uridine 5'-monophosphate	11	not_abx	NA
HY-13761	10.725035	5.0132775	MCE	Teniposide	11	not_abx	Antibacterial
HY-A0038	7.7524204	7.2314315	MCE	Lasofoxifene (Tartrate)	11	not_abx	Antibacterial
HY-100474	7.8266034	6.902033	MCE	Visomitin	11	not_abx	Antibacterial
HY-A0122	1.9765128	2.7782552	MCE	Plicamycin	11	abx	NA
HY-A0166	5.4959865	2.4189522	MCE	Cilastatin	11	not_abx	Antibacterial
HY-N2177	-0.277647	5.0821137	MCE	3-Dehydrotrametenolic acid	11	not_abx	NA
HY-15461A	10.223522000000001	4.5401406	MCE	Ertugliflozin L-pyroglutamic acid	11	not_abx	NA
HY-10264	5.0001254	7.302901	MCE	Edoxaban	10	not_abx	NA
HY-B0023	8.41247	6.9350934	MCE	Azelnidipine	10	not_abx	NA
HY-N0829	-0.13913697	5.57468	MCE	Shionone	10	not_abx	Antibacterial
HY-B1278	5.1074324	4.7627926	MCE	D-α-Tocopherol acetate	10	not_abx	Antibacterial
HY-15856B	6.028532	7.470736	MCE	Flupentixol dihydrochloride	10	not_abx	Antibacterial
HY-14740	6.666567	10.401538	MCE	Elvitegravir	10	not_abx	Antiviral
HY-10264B	5.0438967	7.3158317	MCE	Edoxaban (tosylate monohydrate)	10	not_abx	NA
HY-13011A	5.039171	9.071222	MCE	Alectinib (Hydrochloride)	9	not_abx	NA
HY-N0171	0.6152426	4.9776506	MCE	Beta-Sitosterol (purity>80%)	9	not_abx	NA
HY-B1896B	5.14473	9.720851	MCE	Piperaquine (tetraphosphate tetrahydrate)	9	not_abx	NA
HY-N2083	-1.2209675	5.0120287	MCE	Handelin	9	not_abx	NA
HY-B1012	3.63931	6.446618	MCE	Quinestrol	9	not_abx	NA
HY-13011	5.0816875	9.074408	MCE	Alectinib	9	not_abx	NA
HY-90001	6.4520135	7.1906033	MCE	Ritonavir	9	not_abx	NA
HY-N6855	-0.36332864	3.1916356	MCE	Mogroside IIA1	9	not_abx	NA
HY-15516	10.076982	4.710522	MCE	Sotagliflozin	9	not_abx	NA
HY-12100	7.0890403	7.188658	MCE	Umeclidinium (bromide)	9	not_abx	NA
HY-12355	6.870468	6.3404827	MCE	Siponimod	9	not_abx	NA
HY-N0171A	0.64820594	4.9429836	MCE	Beta-Sitosterol (purity>98%)	9	not_abx	NA
HY-16423	1.2595607	5.1984887	MCE	Rapacuronium bromide	9	not_abx	NA
HY-B0717	5.168648	4.666153	MCE	Tocofersolan	8	not_abx	NA
HY-17367A	6.7886267	6.41613	MCE	Atazanavir (sulfate)	8	not_abx	NA
HY-N2312	0.46414292	4.97704	MCE	Mogrol	8	not_abx	NA
HY-A0086	3.03251	-0.5538411	MCE	Netilmicin (sulfate)	8	abx	NA
HY-13004	4.855438	6.0150027	MCE	Maraviroc	8	not_abx	NA
HY-N0044	-0.40025404	3.0485334	MCE	Ginsenoside Re	8	not_abx	NA
HY-W014075	7.5107427	12.6845665	MCE	1-Hydroxypyrene	8	not_abx	NA
HY-B2170A	3.74879	3.529643	MCE	Octenidine (dihydrochloride)	8	not_abx	NA
HY-N6915	-0.32602802	3.1997428	MCE	Mogroside II-​A	8	not_abx	NA
HY-15851	6.9428825	7.0807147	MCE	Revefenacin	8	not_abx	NA
HY-101664	7.700351	10.277927	MCE	Ilaprazole	8	not_abx	NA
HY-70053A	8.043952	6.867195	MCE	Fesoterodine (L-mandelate)	8	not_abx	NA
HY-N0790	0.107082784	5.895042	MCE	Lupeol	8	not_abx	NA
HY-N0684	4.673678	4.5697155	MCE	Vitamin K1	8	not_abx	NA
HY-76542	0.2264774	4.680049	MCE	Vitamin D2	8	not_abx	NA
HY-13998	6.6934857	10.58893	MCE	Dasabuvir	7	not_abx	NA
HY-13528	7.7800665	5.8360443	MCE	Clinofibrate	7	not_abx	NA
HY-14744A	8.669497	6.4055276	MCE	Levamlodipine besylate	7	not_abx	NA
HY-12502A	8.327781	6.75485	MCE	Efonidipine (hydrochloride monoethanolate)	7	not_abx	NA
HY-15455	6.5404506	7.785115	MCE	Roflumilast	7	not_abx	NA
HY-13238A	5.648712	7.351186	MCE	Dolutegravir (sodium)	7	not_abx	NA
HY-128365	7.094983	8.313538	MCE	Neticonazole (hydrochloride)	7	not_abx	NA
HY-N4103	0.20437746	4.982907	MCE	Fucosterol	7	not_abx	NA
HY-13511A	7.224995	7.923062	MCE	Rupatadine (Fumarate)	7	not_abx	NA
HY-17403	8.084822	6.8000216	MCE	Manidipine (dihydrochloride)	7	not_abx	NA
HY-N0541	-0.2524354	3.394382	MCE	Pseudoginsenoside F11	7	not_abx	NA
HY-10353A	6.6277003	8.511341	MCE	Raltegravir (potassium salt)	7	not_abx	NA
HY-N0431	-0.21245947	3.668086	MCE	Astragaloside IV	7	not_abx	NA
HY-A0036	6.866123	9.535597	MCE	Bazedoxifene (acetate)	7	not_abx	NA
HY-N0892	-0.10232462	5.8940105	MCE	AKBA	7	not_abx	NA
HY-B1077	6.333046	7.09587	MCE	Penfluridol	7	not_abx	NA
HY-B2145	7.5853267	10.381282	MCE	Ilaprazole (sodium)	7	not_abx	NA
HY-N0094	8.542625	11.373713	MCE	Ipriflavone	7	not_abx	NA
HY-106541	7.1345353	8.418174	MCE	Neticonazole	7	not_abx	NA
HY-B1262	5.728878	7.461094	MCE	Acetophenazine (dimaleate)	6	not_abx	NA
HY-32351	0.608281	4.653386	MCE	Calcifediol	6	not_abx	NA
HY-A0016	5.2515464	8.903062	MCE	Dronedarone	6	not_abx	NA
HY-12176	5.6124268	4.58302	MCE	Aliskiren	6	not_abx	NA
HY-75839	5.1302605	9.157346	MCE	Dronedarone (Hydrochloride)	6	not_abx	NA
HY-B1448	8.233546	6.5358405	MCE	Benidipine (hydrochloride)	6	not_abx	NA
HY-15531	5.6020055	8.735425	MCE	Venetoclax	6	not_abx	NA
HY-N0863	-0.22299027	2.5083501	MCE	Methyl protodioscin	6	not_abx	NA
HY-N0686	-0.22315784	2.3865967	MCE	Pseudoprotodioscin	6	not_abx	NA
HY-10981A	7.3640394	10.575566	MCE	Lenvatinib (mesylate)	6	not_abx	NA
HY-10981	7.257733	10.563827	MCE	Lenvatinib	6	not_abx	NA
HY-N0799	-0.23432982	2.4833333	MCE	Protodioscin	6	not_abx	NA
HY-W017770	8.379852	1.3486071	MCE	S-Adenosyl-L-methionine (disulfate tosylate)	6	not_abx	NA
HY-A0019A	5.0364943	5.1050334	MCE	Paliperidone palmitate	6	not_abx	NA
HY-N0124	-0.08857439	2.692661	MCE	Dioscin	6	not_abx	NA
HY-B0606	7.500672	0.719528	MCE	Diquafosol (tetrasodium)	6	not_abx	NA
HY-N0184A	-0.33192322	3.9676096	MCE	Dipotassium glycyrrhizinate	6	not_abx	NA
HY-W014666	7.254818	12.04617	MCE	Xanthurenic acid	6	not_abx	NA
HY-N2283	-0.16387075	2.6187162	MCE	Deltonin	6	not_abx	NA
HY-14588	7.4340954	6.3674564	MCE	Lopinavir	6	not_abx	NA
HY-B0689A	6.084934	6.4275517	MCE	Indinavir (sulfate)	6	not_abx	NA
HY-N0621	9.201128	12.02093	MCE	Morin	5	not_abx	NA
HY-N0659	-0.2778732	2.6221378	MCE	Jujuboside A	5	not_abx	NA
HY-14596	9.122456	11.761094	MCE	Genistein	5	not_abx	NA
HY-14590	9.148091	11.92889	MCE	Kaempferol	5	not_abx	NA
HY-N0677A	-1.0468425	4.5124655	MCE	Kalii Dehydrographolidi Succinas	5	not_abx	NA
HY-N0614	2.3540792	-2.3915956	MCE	Sucralose	5	not_abx	NA
HY-W040329	8.572161	0.84946793	MCE	2'-Deoxyadenosine	5	not_abx	NA
HY-N0196	9.010193	11.736608500000001	MCE	Baicalein	5	not_abx	NA
HY-14557	6.318874	6.02546	MCE	Pimavanserin	5	not_abx	NA
HY-B0787	4.938327	2.9551463	MCE	Gadodiamide	5	not_abx	NA
HY-10465	6.2173114	8.069766	MCE	Daclatasvir (dihydrochloride)	5	not_abx	NA
HY-107339	4.5543065	8.082958	MCE	Deserpidine	5	not_abx	NA
HY-10466	6.196372	8.123412	MCE	Daclatasvir	5	not_abx	NA
HY-W011683	8.517684	0.8771104	MCE	2'-Deoxyadenosine monohydrate	5	not_abx	NA
HY-15097	9.228923	12.096339	MCE	Myricetin	5	not_abx	NA
HY-N0019	9.064203	11.644152	MCE	Daidzein	5	not_abx	NA
HY-N0382	8.986472	11.760348	MCE	Galangin	5	not_abx	NA
HY-N0603	-0.22331621	3.502596	MCE	20(S)-Ginsenoside Rg3	5	not_abx	NA
HY-13575	5.331709	6.431117	MCE	Blonanserin	5	not_abx	NA
HY-N0597	0.46434987	5.751341	MCE	Panaxatriol	5	not_abx	NA
